contract_version,run_id,run_kind,method,relative_path,score_status,score_failure_code,anomaly_score,threshold,threshold_source_path,calibration_sample_count,calibration_rank,predicted_class,is_anomalous,decision_reason,score_margin
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,pcb1/Data/Images/Anomaly/000.JPG,ok,,0.13372998457716037,0.17611826509314352,pcb1/Data/Images/Normal/0660.JPG,884,840,normal,false,score_at_or_below_threshold,-0.042388280515983146
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,pcb1/Data/Images/Anomaly/001.JPG,ok,,0.18295653717852622,0.17611826509314352,pcb1/Data/Images/Normal/0660.JPG,884,840,anomalous,true,score_above_threshold,0.006838272085382707
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,pcb1/Data/Images/Anomaly/002.JPG,ok,,0.19801871028756665,0.17611826509314352,pcb1/Data/Images/Normal/0660.JPG,884,840,anomalous,true,score_above_threshold,0.021900445194423135
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,pcb1/Data/Images/Anomaly/003.JPG,ok,,0.17396657152491013,0.17611826509314352,pcb1/Data/Images/Normal/0660.JPG,884,840,normal,false,score_at_or_below_threshold,-0.002151693568233387
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,pcb1/Data/Images/Anomaly/004.JPG,ok,,0.19242724077078247,0.17611826509314352,pcb1/Data/Images/Normal/0660.JPG,884,840,anomalous,true,score_above_threshold,0.01630897567763895
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,pcb1/Data/Images/Anomaly/005.JPG,ok,,0.1707724367365986,0.17611826509314352,pcb1/Data/Images/Normal/0660.JPG,884,840,normal,false,score_at_or_below_threshold,-0.005345828356544929
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,pcb1/Data/Images/Anomaly/006.JPG,ok,,0.18589986391430458,0.17611826509314352,pcb1/Data/Images/Normal/0660.JPG,884,840,anomalous,true,score_above_threshold,0.009781598821161058
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,pcb1/Data/Images/Anomaly/007.JPG,ok,,0.18544416641003011,0.17611826509314352,pcb1/Data/Images/Normal/0660.JPG,884,840,anomalous,true,score_above_threshold,0.009325901316886598
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,pcb1/Data/Images/Anomaly/008.JPG,ok,,0.1817050364797038,0.17611826509314352,pcb1/Data/Images/Normal/0660.JPG,884,840,anomalous,true,score_above_threshold,0.005586771386560274
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,pcb1/Data/Images/Anomaly/009.JPG,ok,,0.17383949205021323,0.17611826509314352,pcb1/Data/Images/Normal/0660.JPG,884,840,normal,false,score_at_or_below_threshold,-0.002278773042930282
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,pcb1/Data/Images/Anomaly/010.JPG,ok,,0.1738622219393108,0.17611826509314352,pcb1/Data/Images/Normal/0660.JPG,884,840,normal,false,score_at_or_below_threshold,-0.0022560431538327097
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,pcb1/Data/Images/Anomaly/011.JPG,ok,,0.14986942880539397,0.17611826509314352,pcb1/Data/Images/Normal/0660.JPG,884,840,normal,false,score_at_or_below_threshold,-0.026248836287749544
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,pcb1/Data/Images/Anomaly/012.JPG,ok,,0.15442305375132118,0.17611826509314352,pcb1/Data/Images/Normal/0660.JPG,884,840,normal,false,score_at_or_below_threshold,-0.02169521134182234
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,pcb1/Data/Images/Anomaly/013.JPG,ok,,0.17109318354666472,0.17611826509314352,pcb1/Data/Images/Normal/0660.JPG,884,840,normal,false,score_at_or_below_threshold,-0.0050250815464787935
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,pcb1/Data/Images/Anomaly/014.JPG,ok,,0.1655375478088073,0.17611826509314352,pcb1/Data/Images/Normal/0660.JPG,884,840,normal,false,score_at_or_below_threshold,-0.01058071728433621
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,pcb1/Data/Images/Anomaly/015.JPG,ok,,0.1286118631637149,0.17611826509314352,pcb1/Data/Images/Normal/0660.JPG,884,840,normal,false,score_at_or_below_threshold,-0.04750640192942862
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,pcb1/Data/Images/Anomaly/016.JPG,ok,,0.16602418506629465,0.17611826509314352,pcb1/Data/Images/Normal/0660.JPG,884,840,normal,false,score_at_or_below_threshold,-0.010094080026848862
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,pcb1/Data/Images/Anomaly/017.JPG,ok,,0.12344945896883024,0.17611826509314352,pcb1/Data/Images/Normal/0660.JPG,884,840,normal,false,score_at_or_below_threshold,-0.05266880612431328
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,pcb1/Data/Images/Anomaly/018.JPG,ok,,0.18921249825228018,0.17611826509314352,pcb1/Data/Images/Normal/0660.JPG,884,840,anomalous,true,score_above_threshold,0.013094233159136659
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,pcb1/Data/Images/Anomaly/019.JPG,ok,,0.11741442536292047,0.17611826509314352,pcb1/Data/Images/Normal/0660.JPG,884,840,normal,false,score_at_or_below_threshold,-0.05870383973022304
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,pcb1/Data/Images/Anomaly/020.JPG,ok,,0.1716754490783394,0.17611826509314352,pcb1/Data/Images/Normal/0660.JPG,884,840,normal,false,score_at_or_below_threshold,-0.0044428160148041185
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,pcb1/Data/Images/Anomaly/021.JPG,ok,,0.18807947134829625,0.17611826509314352,pcb1/Data/Images/Normal/0660.JPG,884,840,anomalous,true,score_above_threshold,0.011961206255152734
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,pcb1/Data/Images/Anomaly/022.JPG,ok,,0.1513424038161694,0.17611826509314352,pcb1/Data/Images/Normal/0660.JPG,884,840,normal,false,score_at_or_below_threshold,-0.02477586127697412
